id,id_sponsor,id_location,sort_order
1,8,2,
2,16,4,
3,15,7,
4,31,330,
5,18,10,
6,33,336,
7,6,3,
9,47,328,
10,7,310,
11,37,425,
12,13,105,
13,6,115,
14,2,120,
15,3,125,
16,1,135,
17,20,140,
18,15,145,
19,5,425,
20,4,425,1.0
21,36,425,
22,55,480,
23,56,8,
24,77,68,
