id_cat,category
200,"Agriculture, Nature & Our Environment"
300,Agriculture; Livestock Education
400,Animals
500,Art
600,Creative Activities
700,Demonstrations & Presentations
800,Music & Live Entertainment
835,Parade
900,Special Activities & Attractions
1000,Special Exhibits
1100,Touring Promotional Exhibits & Sponsor Booths
1200,State Fair Buildings
